date,time,julian,q,,
130526,20:07,146.8381944,0.46,,
130527,9:10,147.3819444,1,,
130527,19:46,147.8236111,0.65,,
130528,8:47,148.3659722,0.51,,
130528,20:24,148.85,1.98,,
130529,9:05,149.3784722,1.47,,
130529,20:46,149.8652778,1.5,,
130530,9:18,150.3875,1.69,,
130530,20:15,150.84375,1.67,,
130531,9:00,151.375,0.75,,
130531,22:35,151.9409722,1.05,,
130601,10:00,152.4166667,0.66,,
130601,19:50,152.8263889,1.63,,
130602,9:00,153.375,2,,
130602,20:43,153.8631944,6.48,,
130602,9:00,154.375,2.5,,
130603,20:31,154.8548611,8,,
130604,9:00,155.375,3,,
130604,20:00,155.8333333,2.5,,
130605,9:00,156.375,2,,
130605,20:00,156.8333333,0.75,,
130606,9:00,157.375,0.5,,
130606,20:00,157.8333333,1.25,,
130607,9:00,158.375,1.5,,
130607,18:00,158.75,5.32,,
130608,21:47,159.9076389,4.86,,
140526,9:00,146.375,0,,
140526,20:00,146.8333333,1,,
140527,9:00,147.375,0.5,,
140527,20:00,147.8333333,3,,
140528,10:43,148.4465278,0.82,,
140528,22:06,148.9208333,4.29,,
140529,9:37,149.4006944,2.74,,
140529,20:18,149.8458333,7.62,,
140530,9:02,150.3763889,1.26,,
140530,20:11,150.8409722,5,,
140531,8:55,151.3715278,0.72,,
140531,20:00,151.8333333,1,,
140601,20:18,152.8458333,2.04,,
140602,8:29,153.3534722,0.42,,
140602,20:07,153.8381944,1.52,,
140603,21:05,154.8784722,4.66,,
140604,9:45,155.40625,1.44,,
140605,8:56,156.3722222,1.49,,
140605,20:00,156.8333333,1.25,,
140606,15:24,157.6416667,0.5,,
140607,10:00,158.4166667,0.25,,
140607,16:10,158.6736111,2.5,,
,,,,,
,,,,,
,,,,,
