date,time,julian,q
130526,22:06,146.9208333,0.32
130527,10:05,147.4201389,0.23
130527,20:21,147.8479167,0.46
130528,9:44,148.4055556,1.54
130528,21:16,148.8861111,5.7
130529,9:13,149.3840278,8.94
130529,21:48,149.9083333,2
130530,9:17,150.3868056,2.5
130530,20:34,150.8569444,10
130531,9:00,151.375,1.5
130531,20:02,151.8347222,3.38
130601,9:41,152.4034722,4.11
130601,20:52,152.8694444,11.06
130602,9:00,153.375,8.5
130602,20:04,153.8361111,9.72
130603,20:12,154.8416667,4.58
130604,19:53,155.8284722,4.28
130605,20:09,156.8395833,0.59
130606,21:00,157.875,0.25
130607,13:43,158.5715278,1.5
130608,19:35,159.8159722,0.75
130609,15:24,160.6416667,0.51
140514,20:00,134.8333333,0
140515,20:00,135.8333333,0.5
140516,9:15,136.3854167,1.93
140516,9:21,136.3895833,2.08
140517,20:00,137.8333333,1.25
140518,20:00,138.8333333,0.25
140519,20:00,139.8333333,0
140524,11:00,144.4583333,0
140526,9:00,146.375,0
140526,20:00,146.8333333,3
140527,9:48,147.4083333,0.76
140527,19:39,147.81875,7.31
140528,8:48,148.3666667,1.13
140528,20:26,148.8513889,9.08
140529,9:25,149.3923611,2.19
140529,20:45,149.8645833,9.5
140530,9:50,150.4097222,2.7
140530,20:39,150.8604167,4.57
140531,10:06,151.4208333,0.55
140531,20:27,151.8520833,1.6
140601,10:41,152.4451389,3.59
140601,20:46,152.8652778,2.63
140602,9:13,153.3840278,1.11
140602,20:55,153.8715278,1.35
140603,13:40,154.5694444,1.8
140603,21:58,154.9152778,1.44
140604,8:59,155.3743056,0.44
140604,14:12,155.5916667,1.24
140605,9:34,156.3986111,1.75
140605,20:59,156.8743056,1.3
140607,10:00,158.4166667,0.25
